City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,laguna,38.421,-121.4238,16.54,83,0,4.12,US,1696862796
203,constantia,44.1833,28.65,14.38,35,95,3.26,RO,1696862968
204,padangsidempuan,1.3667,99.2667,22.37,99,38,0.66,ID,1696862968
205,broken hill,-31.95,141.4333,17.47,65,69,2.61,AU,1696862968
206,gewane,10.1664,40.6453,34.92,20,39,5.44,ET,1696862969
207,formosa do rio preto,-11.0483,-45.1931,37.68,21,62,2.14,BR,1696862969
208,arkhangel'sk,64.5401,40.5433,3.4,86,98,2.66,RU,1696862970
209,busko-zdroj,50.4708,20.7188,8.3,88,100,1.81,PL,1696862970
210,alpine,32.835,-116.7664,24.26,57,100,2.06,US,1696862770
211,as sanad,34.4628,9.264,26.14,34,0,2.52,TN,1696862971
212,ribeira brava,32.65,-17.0667,30.35,46,99,4.61,PT,1696862971
213,mogocha,53.7333,119.7667,4.3,67,38,0.89,RU,1696862972
214,georgetown,5.4112,100.3354,29.99,79,20,2.24,MY,1696862783
215,likisa,-8.6695,125.6875,17.56,73,8,1.96,TL,1696862973
216,wagar,16.1525,36.2032,38.87,10,0,4.06,SD,1696862974
217,san patricio,28.017,-97.5169,21.57,62,100,0.73,US,1696862974
218,namibe,-15.1961,12.1522,20.04,84,95,4.29,AO,1696862974
219,palmer,42.1584,-72.3287,13.02,65,0,4.12,US,1696862975
220,cidreira,-30.1811,-50.2056,19.04,73,21,3.59,BR,1696862975
221,rabaul,-4.1967,152.1721,26.29,86,92,3.04,PG,1696862976
222,san antonio de pale,-1.4014,5.6325,25.99,84,100,4.32,GQ,1696862976
223,pizarro,4.9533,-77.366,25.4,89,99,2.55,CO,1696862977
224,dokshytsy,54.8924,27.7689,6.51,60,100,4.66,BY,1696862977
225,boguchany,58.3814,97.4531,9.36,92,80,1.79,RU,1696862978
226,whitehorse,60.7161,-135.0538,6.56,97,100,2.06,CA,1696862978
227,arica,-18.475,-70.3042,20.75,68,100,3.6,CL,1696862978
228,ola,59.5833,151.2833,2.45,98,100,4.21,RU,1696862979
229,diu,20.7141,70.9822,25.98,74,6,5.12,IN,1696862979
230,tual,-5.6667,132.75,26.02,79,84,8.63,ID,1696862980
231,college,64.8569,-147.8028,-1.03,81,100,2.57,US,1696862801
232,coahuayana de hidalgo,18.7,-103.6583,24.6,94,100,1.64,MX,1696862981
233,tazacorte,28.629,-17.9293,27.54,74,0,3.6,ES,1696862981
234,zevenaar,51.9167,6.0667,21.17,85,92,0.45,NL,1696862981
235,zhirnov,48.1709,41.1261,8.36,54,100,7.49,RU,1696862982
236,buritis,-15.6178,-46.4233,36.28,32,22,1.07,BR,1696862982
237,karratha,-20.7377,116.8463,26.68,44,0,1.91,AU,1696862983
238,vaasa,63.096,21.6158,5.16,79,0,2.06,FI,1696862983
239,utrik,11.2278,169.8474,28.06,73,77,4.86,MH,1696862984
240,gordonvale,-17.0936,145.7842,21.88,100,45,2.08,AU,1696862984
241,galesong,-5.3166,119.3661,25.01,63,27,2.77,ID,1696862984
242,cameron,26.117,-97.5169,20.98,85,40,1.54,US,1696862985
243,chonchi,-42.6128,-73.8092,10.56,94,100,2.5,CL,1696862985
244,kavaratti,10.5669,72.642,27.81,62,43,1.02,IN,1696862986
